mt_bos-eng: 500	 acc: --	 ppl: 3773.18	 xent: 8.24	  12.82 TFLOP/s	 12282/14122 tok/s	 106730 sents	   1513 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 519.53	 xent: 6.25	  13.86 TFLOP/s	 13299/15246 tok/s	 212263 sents	   2891 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 207.98	 xent: 5.34	  14.48 TFLOP/s	 13872/15937 tok/s	 321301 sents	   4261 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 47.61	 xent: 3.86	  14.28 TFLOP/s	 13679/15728 tok/s	 431138 sents	   5657 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 27.22	 xent: 3.30	  13.61 TFLOP/s	 13045/14995 tok/s	 534468 sents	   7034 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 21.00	 xent: 3.04	  11.72 TFLOP/s	 11225/12905 tok/s	 643353 sents	   8717 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 17.86	 xent: 2.88	  14.31 TFLOP/s	 13721/15748 tok/s	 750367 sents	  10074 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 16.24	 xent: 2.79	  14.08 TFLOP/s	 13488/15511 tok/s	 856334 sents	  11436 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 15.15	 xent: 2.72	  14.63 TFLOP/s	 14014/16112 tok/s	 965841 sents	  12794 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 14.29	 xent: 2.66	  13.80 TFLOP/s	 13231/15185 tok/s	 1069184 sents	  14153 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 13.61	 xent: 2.61	  11.56 TFLOP/s	 11086/12719 tok/s	 1176797 sents	  15838 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 13.21	 xent: 2.58	  14.38 TFLOP/s	 13789/15833 tok/s	 1284865 sents	  17194 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 12.73	 xent: 2.54	  13.91 TFLOP/s	 13347/15293 tok/s	 1389222 sents	  18557 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 12.53	 xent: 2.53	  14.19 TFLOP/s	 13603/15610 tok/s	 1495593 sents	  19923 sec	
mt_bos-eng: 7500	 acc: --	 ppl: 12.38	 xent: 2.52	  13.88 TFLOP/s	 13303/15286 tok/s	 1600554 sents	  21297 sec	
mt_bos-eng: 8000	 acc: --	 ppl: 12.12	 xent: 2.49	  10.16 TFLOP/s	 9738/11188 tok/s	 1706243 sents	  23183 sec	
mt_bos-eng: 8500	 acc: --	 ppl: 11.96	 xent: 2.48	  13.80 TFLOP/s	 13234/15188 tok/s	 1811366 sents	  24564 sec	
mt_bos-eng: 9000	 acc: --	 ppl: 11.77	 xent: 2.47	  14.10 TFLOP/s	 13526/15511 tok/s	 1917542 sents	  25929 sec	
mt_bos-eng: 9500	 acc: --	 ppl: 11.62	 xent: 2.45	  14.21 TFLOP/s	 13636/15632 tok/s	 2024548 sents	  27299 sec	
mt_bos-eng: 10000	 acc: --	 ppl: 11.52	 xent: 2.44	  14.53 TFLOP/s	 13935/16002 tok/s	 2133066 sents	  28651 sec	
mt_bos-eng: 10500	 acc: --	 ppl: 11.45	 xent: 2.44	  11.55 TFLOP/s	 11072/12715 tok/s	 2240118 sents	  30326 sec	
mt_bos-eng: 11000	 acc: --	 ppl: 11.37	 xent: 2.43	  13.82 TFLOP/s	 13242/15216 tok/s	 2344508 sents	  31696 sec	
mt_bos-eng: 11500	 acc: --	 ppl: 11.30	 xent: 2.42	  14.19 TFLOP/s	 13601/15629 tok/s	 2450337 sents	  33045 sec	
mt_bos-eng: 12000	 acc: --	 ppl: 11.18	 xent: 2.41	  13.98 TFLOP/s	 13412/15386 tok/s	 2553961 sents	  34393 sec	
mt_bos-eng: 12500	 acc: --	 ppl: 11.15	 xent: 2.41	  14.25 TFLOP/s	 13669/15687 tok/s	 2660474 sents	  35751 sec	
mt_bos-eng: 13000	 acc: --	 ppl: 11.12	 xent: 2.41	  11.60 TFLOP/s	 11126/12769 tok/s	 2767992 sents	  37436 sec	
mt_bos-eng: 13500	 acc: --	 ppl: 10.98	 xent: 2.40	  13.11 TFLOP/s	 12576/14426 tok/s	 2874881 sents	  38920 sec	
mt_bos-eng: 14000	 acc: --	 ppl: 10.96	 xent: 2.39	  14.28 TFLOP/s	 13681/15726 tok/s	 2982189 sents	  40282 sec	
mt_bos-eng: 14500	 acc: --	 ppl: 10.89	 xent: 2.39	  14.71 TFLOP/s	 14100/16189 tok/s	 3091438 sents	  41635 sec	
mt_bos-eng: 15000	 acc: --	 ppl: 10.89	 xent: 2.39	  14.14 TFLOP/s	 13554/15570 tok/s	 3198366 sents	  43006 sec	
mt_bos-eng: 15500	 acc: --	 ppl: 10.81	 xent: 2.38	  11.55 TFLOP/s	 11075/12714 tok/s	 3305676 sents	  44692 sec	
mt_bos-eng: 16000	 acc: --	 ppl: 10.76	 xent: 2.38	  14.33 TFLOP/s	 13736/15772 tok/s	 3413971 sents	  46062 sec	
mt_bos-eng: 16500	 acc: --	 ppl: 10.64	 xent: 2.37	  14.52 TFLOP/s	 13917/15984 tok/s	 3522293 sents	  47415 sec	
mt_bos-eng: 17000	 acc: --	 ppl: 10.63	 xent: 2.36	  14.17 TFLOP/s	 13589/15591 tok/s	 3629330 sents	  48787 sec	
mt_bos-eng: 17500	 acc: --	 ppl: 10.61	 xent: 2.36	  13.78 TFLOP/s	 13211/15166 tok/s	 3733141 sents	  50155 sec	
