mt_bos-deu: 500	 acc: --	 ppl: 689.53	 xent: 6.54	  15.37 TFLOP/s	 11581/11958 tok/s	 112166 sents	   1892 sec	
mt_bos-deu: 1000	 acc: --	 ppl: 397.18	 xent: 5.98	  14.15 TFLOP/s	 10684/10992 tok/s	 216665 sents	   3812 sec	
mt_bos-deu: 1500	 acc: --	 ppl: 110.87	 xent: 4.71	  14.18 TFLOP/s	 10724/11007 tok/s	 321757 sents	   5745 sec	
mt_bos-deu: 2000	 acc: --	 ppl: 37.50	 xent: 3.62	  15.11 TFLOP/s	 11414/11734 tok/s	 432500 sents	   7643 sec	
mt_bos-deu: 2500	 acc: --	 ppl: 27.63	 xent: 3.32	  14.44 TFLOP/s	 10916/11212 tok/s	 537738 sents	   9531 sec	
mt_bos-deu: 3000	 acc: --	 ppl: 26.40	 xent: 3.27	  11.92 TFLOP/s	 8994/9266 tok/s	 640010 sents	  11761 sec	
mt_bos-deu: 3500	 acc: --	 ppl: 22.63	 xent: 3.12	  13.85 TFLOP/s	 10428/10784 tok/s	 746005 sents	  13756 sec	
mt_bos-deu: 4000	 acc: --	 ppl: 19.95	 xent: 2.99	  13.70 TFLOP/s	 10347/10646 tok/s	 847651 sents	  15689 sec	
mt_bos-deu: 4500	 acc: --	 ppl: 17.84	 xent: 2.88	  14.68 TFLOP/s	 11021/11458 tok/s	 956171 sents	  17603 sec	
mt_bos-deu: 5000	 acc: --	 ppl: 16.29	 xent: 2.79	  14.01 TFLOP/s	 10607/10866 tok/s	 1067329 sents	  19660 sec	
mt_bos-deu: 5500	 acc: --	 ppl: 13.93	 xent: 2.63	  12.42 TFLOP/s	 9392/9644 tok/s	 1174823 sents	  21920 sec	
mt_bos-deu: 6000	 acc: --	 ppl: 12.37	 xent: 2.52	  14.63 TFLOP/s	 11035/11371 tok/s	 1282430 sents	  23836 sec	
mt_bos-deu: 6500	 acc: --	 ppl: 12.71	 xent: 2.54	  13.84 TFLOP/s	 10431/10775 tok/s	 1386580 sents	  25788 sec	
mt_bos-deu: 7000	 acc: --	 ppl: 13.30	 xent: 2.59	  14.35 TFLOP/s	 10852/11138 tok/s	 1492877 sents	  27707 sec	
mt_bos-deu: 7500	 acc: --	 ppl: 10.69	 xent: 2.37	  13.88 TFLOP/s	 10440/10813 tok/s	 1594138 sents	  29610 sec	
mt_bos-deu: 8000	 acc: --	 ppl: 12.86	 xent: 2.55	  12.75 TFLOP/s	 9610/9918 tok/s	 1708753 sents	  31939 sec	
mt_bos-deu: 8500	 acc: --	 ppl: 10.54	 xent: 2.36	  14.25 TFLOP/s	 10756/11074 tok/s	 1815035 sents	  33878 sec	
mt_bos-deu: 9000	 acc: --	 ppl: 11.19	 xent: 2.41	  13.89 TFLOP/s	 10495/10788 tok/s	 1918760 sents	  35810 sec	
mt_bos-deu: 9500	 acc: --	 ppl: 10.05	 xent: 2.31	  14.05 TFLOP/s	 10616/10905 tok/s	 2023999 sents	  37758 sec	
mt_bos-deu: 10000	 acc: --	 ppl:  9.73	 xent: 2.28	  14.40 TFLOP/s	 10872/11188 tok/s	 2129232 sents	  39663 sec	
mt_bos-deu: 10500	 acc: --	 ppl:  9.61	 xent: 2.26	  12.57 TFLOP/s	 9509/9751 tok/s	 2237506 sents	  41897 sec	

mt_bos-eng: 500	 acc: --	 ppl: 699.89	 xent: 6.55	  15.31 TFLOP/s	 11622/11847 tok/s	 112010 sents	   1892 sec	
mt_bos-eng: 1000	 acc: --	 ppl: 428.88	 xent: 6.06	  13.91 TFLOP/s	 10514/10808 tok/s	 215555 sents	   3812 sec	
mt_bos-eng: 1500	 acc: --	 ppl: 122.98	 xent: 4.81	  14.16 TFLOP/s	 10782/10939 tok/s	 321018 sents	   5745 sec	
mt_bos-eng: 2000	 acc: --	 ppl: 41.37	 xent: 3.72	  15.02 TFLOP/s	 11382/11646 tok/s	 431886 sents	   7643 sec	
mt_bos-eng: 2500	 acc: --	 ppl: 30.57	 xent: 3.42	  13.92 TFLOP/s	 10546/10799 tok/s	 534004 sents	   9531 sec	
mt_bos-eng: 3000	 acc: --	 ppl: 25.93	 xent: 3.26	  12.03 TFLOP/s	 9120/9316 tok/s	 637723 sents	  11761 sec	
mt_bos-eng: 3500	 acc: --	 ppl: 22.01	 xent: 3.09	  14.07 TFLOP/s	 10693/10881 tok/s	 745735 sents	  13756 sec	
mt_bos-eng: 4000	 acc: --	 ppl: 19.27	 xent: 2.96	  13.84 TFLOP/s	 10498/10725 tok/s	 849268 sents	  15689 sec	
mt_bos-eng: 4500	 acc: --	 ppl: 15.40	 xent: 2.73	  14.73 TFLOP/s	 11149/11424 tok/s	 958077 sents	  17603 sec	
mt_bos-eng: 5000	 acc: --	 ppl: 13.84	 xent: 2.63	  13.69 TFLOP/s	 10374/10620 tok/s	 1067688 sents	  19660 sec	
mt_bos-eng: 5500	 acc: --	 ppl: 13.17	 xent: 2.58	  12.42 TFLOP/s	 9414/9629 tok/s	 1176061 sents	  21920 sec	
mt_bos-eng: 6000	 acc: --	 ppl: 12.43	 xent: 2.52	  14.67 TFLOP/s	 11152/11347 tok/s	 1284283 sents	  23836 sec	
mt_bos-eng: 6500	 acc: --	 ppl: 10.42	 xent: 2.34	  13.30 TFLOP/s	 10073/10315 tok/s	 1385282 sents	  25788 sec	
mt_bos-eng: 7000	 acc: --	 ppl: 11.43	 xent: 2.44	  14.02 TFLOP/s	 10610/10879 tok/s	 1489554 sents	  27707 sec	
mt_bos-eng: 7500	 acc: --	 ppl: 10.30	 xent: 2.33	  14.37 TFLOP/s	 10926/11101 tok/s	 1594919 sents	  29610 sec	
mt_bos-eng: 8000	 acc: --	 ppl: 11.01	 xent: 2.40	  12.37 TFLOP/s	 9336/9621 tok/s	 1706866 sents	  31939 sec	
mt_bos-eng: 8500	 acc: --	 ppl:  9.89	 xent: 2.29	  14.17 TFLOP/s	 10744/10972 tok/s	 1813046 sents	  33878 sec	
mt_bos-eng: 9000	 acc: --	 ppl:  9.51	 xent: 2.25	  13.92 TFLOP/s	 10556/10785 tok/s	 1917647 sents	  35810 sec	
mt_bos-eng: 9500	 acc: --	 ppl:  9.49	 xent: 2.25	  13.83 TFLOP/s	 10496/10708 tok/s	 2021692 sents	  37758 sec	
mt_bos-eng: 10000	 acc: --	 ppl:  9.40	 xent: 2.24	  14.78 TFLOP/s	 11235/11423 tok/s	 2130314 sents	  39663 sec	
mt_bos-eng: 10500	 acc: --	 ppl:  9.09	 xent: 2.21	  12.15 TFLOP/s	 9216/9412 tok/s	 2235511 sents	  41897 sec	

mt_bos-fra: 500	 acc: --	 ppl: 443.78	 xent: 6.10	  15.66 TFLOP/s	 11548/12368 tok/s	 111815 sents	   1892 sec	
mt_bos-fra: 1000	 acc: --	 ppl: 200.42	 xent: 5.30	  14.24 TFLOP/s	 10524/11226 tok/s	 214845 sents	   3812 sec	
mt_bos-fra: 1500	 acc: --	 ppl: 69.27	 xent: 4.24	  14.30 TFLOP/s	 10580/11268 tok/s	 318723 sents	   5745 sec	
mt_bos-fra: 2000	 acc: --	 ppl: 29.60	 xent: 3.39	  15.18 TFLOP/s	 11219/11982 tok/s	 427669 sents	   7643 sec	
mt_bos-fra: 2500	 acc: --	 ppl: 24.43	 xent: 3.20	  14.61 TFLOP/s	 10770/11557 tok/s	 532258 sents	   9531 sec	
mt_bos-fra: 3000	 acc: --	 ppl: 23.05	 xent: 3.14	  12.14 TFLOP/s	 8961/9591 tok/s	 634141 sents	  11761 sec	
mt_bos-fra: 3500	 acc: --	 ppl: 18.48	 xent: 2.92	  14.04 TFLOP/s	 10359/11084 tok/s	 739456 sents	  13756 sec	
mt_bos-fra: 4000	 acc: --	 ppl: 14.78	 xent: 2.69	  14.01 TFLOP/s	 10331/11076 tok/s	 841759 sents	  15689 sec	
mt_bos-fra: 4500	 acc: --	 ppl: 11.97	 xent: 2.48	  14.78 TFLOP/s	 10947/11645 tok/s	 948106 sents	  17603 sec	
mt_bos-fra: 5000	 acc: --	 ppl: 12.05	 xent: 2.49	  14.20 TFLOP/s	 10489/11209 tok/s	 1058389 sents	  19660 sec	
mt_bos-fra: 5500	 acc: --	 ppl: 11.45	 xent: 2.44	  12.50 TFLOP/s	 9248/9849 tok/s	 1164513 sents	  21920 sec	
mt_bos-fra: 6000	 acc: --	 ppl: 10.14	 xent: 2.32	  14.67 TFLOP/s	 10830/11576 tok/s	 1270336 sents	  23836 sec	
mt_bos-fra: 6500	 acc: --	 ppl:  9.12	 xent: 2.21	  13.95 TFLOP/s	 10321/10997 tok/s	 1372986 sents	  25788 sec	
mt_bos-fra: 7000	 acc: --	 ppl: 10.43	 xent: 2.34	  14.34 TFLOP/s	 10608/11303 tok/s	 1476825 sents	  27707 sec	
mt_bos-fra: 7500	 acc: --	 ppl:  8.11	 xent: 2.09	  14.45 TFLOP/s	 10686/11386 tok/s	 1579882 sents	  29610 sec	
mt_bos-fra: 8000	 acc: --	 ppl:  9.53	 xent: 2.25	  12.52 TFLOP/s	 9251/9886 tok/s	 1690286 sents	  31939 sec	
mt_bos-fra: 8500	 acc: --	 ppl:  7.79	 xent: 2.05	  14.82 TFLOP/s	 10988/11655 tok/s	 1798286 sents	  33878 sec	
mt_bos-fra: 9000	 acc: --	 ppl:  8.43	 xent: 2.13	  14.15 TFLOP/s	 10492/11136 tok/s	 1901458 sents	  35810 sec	
mt_bos-fra: 9500	 acc: --	 ppl:  8.52	 xent: 2.14	  14.42 TFLOP/s	 10656/11372 tok/s	 2007317 sents	  37758 sec	
mt_bos-fra: 10000	 acc: --	 ppl:  8.29	 xent: 2.12	  14.83 TFLOP/s	 10953/11706 tok/s	 2113660 sents	  39663 sec	
mt_bos-fra: 10500	 acc: --	 ppl:  8.14	 xent: 2.10	  12.55 TFLOP/s	 9267/9908 tok/s	 2219658 sents	  41897 sec	

mt_bos-spa: 500	 acc: --	 ppl: 505.77	 xent: 6.23	  15.53 TFLOP/s	 11435/12287 tok/s	 110682 sents	   1892 sec	
mt_bos-spa: 1000	 acc: --	 ppl: 269.07	 xent: 5.59	  14.21 TFLOP/s	 10481/11221 tok/s	 213255 sents	   3812 sec	
mt_bos-spa: 1500	 acc: --	 ppl: 85.96	 xent: 4.45	  14.21 TFLOP/s	 10419/11270 tok/s	 316783 sents	   5745 sec	
