denoise_fin-fin: 500	 acc: --	 ppl: 2205.77	 xent: 7.70	  17.27 TFLOP/s	 47045/55273 tok/s	 128016 sents	    446 sec	
denoise_fin-fin: 1000	 acc: --	 ppl: 527.32	 xent: 6.27	  17.40 TFLOP/s	 47396/55692 tok/s	 256000 sents	    891 sec	
denoise_fin-fin: 1500	 acc: --	 ppl: 232.14	 xent: 5.45	  10.15 TFLOP/s	 27666/32505 tok/s	 384016 sents	   1649 sec	
denoise_fin-fin: 2000	 acc: --	 ppl: 22.49	 xent: 3.11	  17.44 TFLOP/s	 47512/55819 tok/s	 512000 sents	   2092 sec	
denoise_fin-fin: 2500	 acc: --	 ppl: 15.25	 xent: 2.72	  14.80 TFLOP/s	 40314/47366 tok/s	 640016 sents	   2612 sec	
denoise_fin-fin: 3000	 acc: --	 ppl: 13.84	 xent: 2.63	  17.49 TFLOP/s	 47626/55963 tok/s	 768000 sents	   3054 sec	
denoise_fin-fin: 3500	 acc: --	 ppl: 11.06	 xent: 2.40	  14.72 TFLOP/s	 40112/47135 tok/s	 896016 sents	   3577 sec	
denoise_fin-fin: 4000	 acc: --	 ppl:  9.76	 xent: 2.28	  17.48 TFLOP/s	 47610/55936 tok/s	 1024000 sents	   4019 sec	
denoise_fin-fin: 4500	 acc: --	 ppl:  9.17	 xent: 2.22	  14.66 TFLOP/s	 39932/46909 tok/s	 1152016 sents	   4544 sec	
denoise_fin-fin: 5000	 acc: --	 ppl:  9.17	 xent: 2.22	  17.43 TFLOP/s	 47499/55805 tok/s	 1280000 sents	   4985 sec	
denoise_fin-fin: 5500	 acc: --	 ppl:  8.20	 xent: 2.10	  14.54 TFLOP/s	 39617/46543 tok/s	 1408016 sents	   5515 sec	
denoise_fin-fin: 6000	 acc: --	 ppl:  7.77	 xent: 2.05	  17.45 TFLOP/s	 47515/55821 tok/s	 1536000 sents	   5959 sec	
denoise_fin-fin: 6500	 acc: --	 ppl:  7.21	 xent: 1.97	  15.40 TFLOP/s	 41944/49286 tok/s	 1664016 sents	   6460 sec	
denoise_fin-fin: 7000	 acc: --	 ppl:  7.03	 xent: 1.95	  17.43 TFLOP/s	 47458/55763 tok/s	 1792000 sents	   6904 sec	
denoise_fin-fin: 7500	 acc: --	 ppl:  6.96	 xent: 1.94	  15.13 TFLOP/s	 41223/48433 tok/s	 1920016 sents	   7411 sec	
denoise_fin-fin: 8000	 acc: --	 ppl:  6.84	 xent: 1.92	  17.51 TFLOP/s	 47689/56045 tok/s	 2048000 sents	   7854 sec	
